epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.3759,0.77897,0.95919,1.29736,0.80834,0.74295,0.87369,0.67451,0.7881,0.90956,1.35386,0.0700498,0.00332781,0.00332781
2,175.747,0.61303,0.77161,1.15541,0.8176,0.87917,0.91791,0.80723,0.57143,1.14083,0.98025,0.0400481,0.00665951,0.00665951
3,258.201,0.5401,0.71167,1.10158,0.91207,0.93555,0.96117,0.85993,0.46067,0.49677,0.81998,0.01004,0.00998471,0.00998471
4,340.285,0.50842,0.68441,1.08018,0.47979,0.85939,0.67497,0.42142,1.02779,1.35831,1.37161,0.00997803,0.00997803,0.00997803
5,422.15,0.46926,0.65345,1.05632,0.95819,0.94068,0.97947,0.96793,0.28414,0.37283,0.64113,0.00996097,0.00996097,0.00996097
6,503.855,0.44692,0.62922,1.04586,0.91872,0.95612,0.97104,0.92685,0.33555,0.44062,0.68769,0.00993906,0.00993906,0.00993906
7,585.073,0.42853,0.60953,1.02871,0.94751,0.94521,0.97763,0.97014,0.22735,0.33551,0.59453,0.00991232,0.00991232,0.00991232
8,666.749,0.4171,0.59401,1.02459,0.94381,0.94708,0.97803,0.97079,0.22975,0.39627,0.66021,0.00988079,0.00988079,0.00988079
9,748.931,0.40146,0.58508,1.01642,0.96708,0.94668,0.98438,0.98271,0.15072,0.32152,0.53999,0.00984449,0.00984449,0.00984449
10,830.857,0.39144,0.57151,1.01165,0.96382,0.94215,0.98234,0.96905,0.22203,0.32351,0.57051,0.00980345,0.00980345,0.00980345
11,912.773,0.3916,0.5691,1.01019,0.96868,0.95129,0.9818,0.98101,0.17069,0.259,0.54589,0.00975773,0.00975773,0.00975773
12,994.099,0.3796,0.56635,1.0033,0.96001,0.9405,0.98296,0.98241,0.17312,0.3314,0.54882,0.00970736,0.00970736,0.00970736
13,1075.75,0.37368,0.55942,0.99958,0.96026,0.95313,0.98348,0.98215,0.13452,0.27453,0.50622,0.00965239,0.00965239,0.00965239
14,1157.36,0.36745,0.54463,0.99548,0.95069,0.96009,0.97887,0.97442,0.19046,0.27877,0.55216,0.00959289,0.00959289,0.00959289
15,1239.15,0.36045,0.54365,0.99248,0.97354,0.94309,0.98356,0.98222,0.14857,0.26324,0.53933,0.00952889,0.00952889,0.00952889
16,1321.2,0.35627,0.533,0.98931,0.96481,0.948,0.98415,0.98369,0.09816,0.21788,0.48026,0.00946048,0.00946048,0.00946048
17,1403.06,0.35323,0.53198,0.98875,0.96924,0.94727,0.98564,0.98486,0.11983,0.23724,0.51027,0.00938772,0.00938772,0.00938772
18,1484.7,0.3493,0.5267,0.98556,0.97181,0.95167,0.98393,0.98333,0.13811,0.24127,0.50683,0.00931067,0.00931067,0.00931067
19,1566.89,0.34413,0.52804,0.98639,0.97114,0.94874,0.98834,0.98807,0.13339,0.26651,0.48331,0.00922942,0.00922942,0.00922942
20,1648.23,0.34126,0.52807,0.98266,0.96683,0.95002,0.98833,0.98768,0.0966,0.22774,0.49971,0.00914405,0.00914405,0.00914405
21,1729.45,0.3404,0.52491,0.98262,0.96728,0.95936,0.98612,0.98579,0.11213,0.22941,0.49693,0.00905463,0.00905463,0.00905463
22,1811.1,0.33874,0.52172,0.98018,0.96939,0.95643,0.98717,0.98699,0.09727,0.21563,0.48568,0.00896127,0.00896127,0.00896127
23,1892.67,0.33165,0.51595,0.97628,0.96797,0.9546,0.98204,0.98195,0.10062,0.20301,0.47318,0.00886404,0.00886404,0.00886404
24,1974.18,0.33427,0.51335,0.97739,0.96826,0.95496,0.98548,0.98477,0.11418,0.23129,0.49522,0.00876305,0.00876305,0.00876305
25,2055.65,0.3221,0.51104,0.97253,0.96651,0.95899,0.98539,0.98481,0.08657,0.19628,0.46351,0.00865839,0.00865839,0.00865839
26,2136.9,0.32434,0.50797,0.97415,0.97205,0.95504,0.98657,0.98622,0.08357,0.19253,0.46257,0.00855018,0.00855018,0.00855018
27,2218.6,0.32075,0.50427,0.97098,0.97191,0.95569,0.98718,0.98697,0.08167,0.18905,0.46805,0.00843851,0.00843851,0.00843851
28,2299.56,0.31742,0.50318,0.97032,0.96681,0.96009,0.98821,0.98803,0.0817,0.19073,0.46159,0.00832349,0.00832349,0.00832349
29,2381.47,0.31715,0.49686,0.96949,0.97167,0.9546,0.9862,0.98615,0.07929,0.18665,0.46194,0.00820525,0.00820525,0.00820525
30,2463.01,0.31297,0.50244,0.96416,0.97141,0.95814,0.9871,0.98689,0.0882,0.18466,0.45957,0.00808389,0.00808389,0.00808389
31,2544.97,0.31506,0.49236,0.96637,0.9682,0.95888,0.98801,0.98793,0.08455,0.18856,0.46492,0.00795954,0.00795954,0.00795954
32,2626.21,0.31068,0.49323,0.96528,0.97084,0.95643,0.98848,0.98835,0.0762,0.18757,0.45338,0.00783231,0.00783231,0.00783231
33,2708.19,0.30689,0.48982,0.96438,0.97419,0.95354,0.98917,0.98871,0.088,0.19576,0.46637,0.00770234,0.00770234,0.00770234
34,2789.75,0.30466,0.48456,0.96406,0.97421,0.95423,0.98825,0.98821,0.08671,0.19303,0.46015,0.00756976,0.00756976,0.00756976
35,2871.56,0.30289,0.48475,0.96204,0.97348,0.95752,0.9887,0.98866,0.08517,0.18929,0.45561,0.00743468,0.00743468,0.00743468
36,2953.72,0.29954,0.48544,0.96193,0.97184,0.95643,0.98869,0.98867,0.07532,0.18318,0.44966,0.00729725,0.00729725,0.00729725
37,3035.3,0.29739,0.48438,0.95834,0.97207,0.95752,0.98868,0.98855,inf,0.18126,0.44463,0.00715761,0.00715761,0.00715761
38,3116.92,0.29784,0.48281,0.95892,0.97248,0.9575,0.98948,0.98938,0.07186,0.17523,0.44579,0.00701588,0.00701588,0.00701588
39,3198.22,0.29721,0.47991,0.96002,0.97383,0.95752,0.98937,0.98931,0.07129,0.17693,0.44562,0.00687222,0.00687222,0.00687222
40,3280.06,0.29425,0.47746,0.95814,0.97338,0.95789,0.98837,0.98831,0.07025,0.1799,0.44281,0.00672675,0.00672675,0.00672675
41,3361.66,0.29442,0.47475,0.9579,0.97238,0.95862,0.98907,0.98894,0.06993,0.1776,0.44029,0.00657963,0.00657963,0.00657963
42,3443.03,0.28973,0.47479,0.95559,0.97174,0.96082,0.98937,0.98926,0.07341,0.17616,0.44204,0.00643101,0.00643101,0.00643101
43,3524.19,0.28751,0.46799,0.95551,0.97183,0.96011,0.98969,0.98957,0.06901,0.17187,0.44141,0.00628101,0.00628101,0.00628101
44,3605.95,0.28721,0.46633,0.95377,0.97325,0.95911,0.9897,0.98953,0.0712,0.17416,0.44317,0.00612981,0.00612981,0.00612981
45,3687.42,0.2845,0.46488,0.95408,0.97286,0.95823,0.98936,0.98926,0.0703,0.1757,0.43996,0.00597754,0.00597754,0.00597754
46,3768.43,0.28489,0.46876,0.95314,0.97426,0.95643,0.98955,0.98955,0.07063,0.17696,0.43644,0.00582435,0.00582435,0.00582435
47,3849.98,0.28299,0.46451,0.95459,0.97288,0.95884,0.98969,0.98969,0.06477,0.16979,0.42988,0.0056704,0.0056704,0.0056704
48,3931.51,0.27855,0.46425,0.95122,0.97221,0.96068,0.98994,0.98994,0.06272,0.16711,0.42937,0.00551584,0.00551584,0.00551584
49,4013.13,0.27912,0.4643,0.95136,0.97185,0.96068,0.9902,0.9902,0.0615,0.16516,0.42882,0.00536081,0.00536081,0.00536081
50,4094.92,0.27423,0.45845,0.94807,0.97218,0.95984,0.99004,0.99004,0.06015,0.16398,0.42717,0.00520548,0.00520548,0.00520548
51,4176.3,0.27611,0.46105,0.94928,0.97327,0.95936,0.99028,0.99028,0.06037,0.16572,0.42619,0.00505,0.00505,0.00505
52,4258.11,0.27402,0.4529,0.95039,0.97402,0.95826,0.99034,0.99034,0.06036,0.1674,0.42601,0.00489452,0.00489452,0.00489452
53,4339.77,0.26784,0.4509,0.94867,0.97362,0.95942,0.99024,0.99023,0.06012,0.16798,0.42559,0.00473919,0.00473919,0.00473919
54,4421.05,0.26925,0.4538,0.94636,0.97397,0.9589,0.99028,0.99027,0.05975,0.16536,0.42517,0.00458416,0.00458416,0.00458416
55,4502.92,0.2686,0.44952,0.94758,0.97324,0.95882,0.99003,0.99002,0.05985,0.16457,0.42443,0.0044296,0.0044296,0.0044296
56,4584.22,0.26683,0.44725,0.94681,0.97332,0.95899,0.99025,0.99024,0.05973,0.16392,0.42369,0.00427565,0.00427565,0.00427565
57,4665.82,0.26591,0.44568,0.94793,0.97324,0.95901,0.99028,0.99027,0.06003,0.16411,0.42372,0.00412246,0.00412246,0.00412246
58,4747.32,0.26564,0.45118,0.94515,0.97368,0.95899,0.99028,0.99027,0.05943,0.16406,0.42304,0.00397019,0.00397019,0.00397019
59,4828.57,0.26417,0.44599,0.94497,0.97297,0.95936,0.99031,0.9903,0.05886,0.16366,0.42249,0.00381899,0.00381899,0.00381899
60,4910.4,0.26028,0.44794,0.94527,0.97362,0.95935,0.99034,0.99034,0.05821,0.16308,0.42174,0.00366899,0.00366899,0.00366899
61,4991.97,0.25994,0.44483,0.94271,0.97388,0.95899,0.99031,0.9903,inf,0.16299,0.42104,0.00352037,0.00352037,0.00352037
62,5073.81,0.2557,0.44081,0.94045,0.97396,0.95884,0.99027,0.99026,0.05755,0.16286,0.42051,0.00337325,0.00337325,0.00337325
63,5155.28,0.25538,0.44001,0.94229,0.97373,0.95826,0.99028,0.99028,inf,0.16246,0.41997,0.00322778,0.00322778,0.00322778
64,5237.35,0.25502,0.43774,0.9413,0.97395,0.95826,0.99027,0.99026,0.05688,0.16168,0.41931,0.00308412,0.00308412,0.00308412
65,5319.27,0.25357,0.43833,0.94146,0.97405,0.95826,0.99031,0.99031,0.05638,0.16123,0.41871,0.00294239,0.00294239,0.00294239
66,5400.63,0.25154,0.43528,0.93879,0.97403,0.95826,0.99035,0.99034,inf,0.16105,0.41816,0.00280275,0.00280275,0.00280275
67,5482.16,0.25111,0.4327,0.93947,0.97343,0.95972,0.99024,0.99024,0.05607,0.16077,0.41793,0.00266532,0.00266532,0.00266532
68,5563.41,0.2487,0.42933,0.94033,0.97361,0.9591,0.9903,0.9903,0.05608,0.16087,0.41766,0.00253024,0.00253024,0.00253024
69,5644.67,0.24483,0.43067,0.93614,0.97427,0.95936,0.99031,0.99031,0.05606,0.16094,0.41704,0.00239766,0.00239766,0.00239766
70,5725.92,0.24432,0.42588,0.93618,0.97539,0.95775,0.99035,0.99035,0.05613,0.16043,0.41658,0.00226769,0.00226769,0.00226769
71,5807.34,0.24514,0.42705,0.93548,0.97245,0.96045,0.99034,0.99033,0.05602,0.16044,0.41602,0.00214046,0.00214046,0.00214046
72,5888.61,0.245,0.42534,0.9377,0.97231,0.96045,0.99038,0.99038,0.05592,0.16047,0.41574,0.00201611,0.00201611,0.00201611
73,5970.56,0.24204,0.42882,0.93636,0.97256,0.96009,0.99042,0.99042,0.05614,0.16042,0.41544,0.00189475,0.00189475,0.00189475
74,6051.39,0.24346,0.4255,0.93659,0.97254,0.96045,0.99043,0.99042,0.05611,0.16046,0.41497,0.00177651,0.00177651,0.00177651
75,6133.25,0.23992,0.42442,0.93427,0.97256,0.96026,0.99045,0.99045,0.05649,0.16016,0.41446,0.00166149,0.00166149,0.00166149
76,6214.27,0.24133,0.41915,0.93645,0.97293,0.96082,0.99049,0.99048,0.05674,0.16003,0.41415,0.00154982,0.00154982,0.00154982
77,6295.5,0.23582,0.41612,0.93317,0.97294,0.96113,0.99055,0.99054,0.05675,0.15973,0.41381,0.00144161,0.00144161,0.00144161
78,6377.28,0.23661,0.41713,0.93356,0.9729,0.96082,0.99058,0.99057,0.05679,0.15932,0.41341,0.00133695,0.00133695,0.00133695
79,6458.59,0.23347,0.41602,0.93397,0.97258,0.96127,0.99059,0.99059,0.05679,0.15926,0.41291,0.00123596,0.00123596,0.00123596
80,6539.57,0.23429,0.41579,0.93259,0.9733,0.96088,0.99058,0.99058,0.05651,0.15883,0.41254,0.00113873,0.00113873,0.00113873
81,6620.79,0.23482,0.41833,0.93573,0.97337,0.96119,0.9906,0.9906,0.05636,0.15816,0.41215,0.00104537,0.00104537,0.00104537
82,6702.7,0.23233,0.41268,0.93253,0.97329,0.96059,0.99059,0.99059,0.05603,0.15801,0.41178,0.000955951,0.000955951,0.000955951
83,6784.46,0.2318,0.41704,0.93373,0.97399,0.95899,0.99063,0.99063,0.05569,0.15812,0.41134,0.000870577,0.000870577,0.000870577
